;Unnamed: 0;full_text;user_id_str;image_url;location
29;29; kalian tu gak punya cs tapi buka layanan cs ya  ini chat dr bulan apa gak pernah solved  di aplikasi diarahkan ke email juga gak ada respon  aku mau komplain  ;103802792;https://pbs.twimg.com/media/F96qP-1bwAAdr0p.jpg;Yogyakarta, Indonesia
30;30;patroli kewilayahan  personil polsek cikarang selatan aipda jon henry dan bripka acep  melaksanakan sosialisasi layanan polri     di alfamart desa sukaresmi untuk menyampaikan himbauan kamtibmas  ;9,69218E+17;https://pbs.twimg.com/media/GA-N-2MaAAAKpyM.jpg;cikarang selatan
31;31;  parkir alfamart gratis  itu layanan buat konsumen  dan pihak pt udah bayar retribusi juga ke pemda jadi itu kalo ada parkir di alfa   indo masuknya pungli si;1,48339E+18;;
32;32; layanan alfagift mu sangat berarti  tapi ya jangan sampe nunggu sejam baru dateng ;1,17031E+18;;
33;33; min  mohon info cara kl mau bikin pengaduan layanan konsumen dong ;1,12208E+18;;
34;34; cek dm min komplain soal layanan pembayaran;155657333;;
35;35; disemua alfamart lah min   kalau ada gangguan layanan pembayaran  misal qris  atau ppob  mending ditulis di depan pintu  atau di depan kasir biar org ga ikut antri cmn buat dibilang gangguan ;73090798;;
36;36; kalo kontrakanmu deket alfamart yg ada layanan pesan antar  download aja apk alfagift  nanti kamu bisa pesen jajan dan barang lain yang ada di alfamart dari rumah  gratis ongkir kok  kalo pembayarannya lewat e wallet atau m banking gada min ordernya  kalo mau cod min order   k  ;1,451E+18;;
37;37;  lebih praktis kalau begitu  mungkin indomaret dan alfamart bisa tawarkan layanan titip alamat semacam ini   kalau di indonesia saat ini  bisa dikirim ke alamat agen kurir di kota yg kita inginkan  asal pakai kurir yang sama ;108557222;;
38;38;layanan kurban   email  layananmuzaki baznas go id  baznas kurban kurbanberkahbaznas alfamart;293290619;;Jakarta Capital Region
39;39;update  siwon    oh iya  info layanan masyarakat elf  kalau masih ada yg nyari tapcash siwon  tadi di alfamart daerah joglo  depan mcd kl ga salah  masih ada beberapa;1,65988E+18;;
40;40;guys  ada platform investasi bisnis bagus   kita bisa punya bisnis alfamart hingga sour sally  mulai dari rp   juta  pakai kode mdlt  f  dan dapatkan     cashback biaya layanan untuk investasi perdanamu   yuk  daftar sekarang juga di  kuota terbatas ;65303894;;Indonesia
41;41;linkaja indonesia    menit     saldomu habis waktu kritis  tenang  isi langsung di alfamart dan alfamidi terdekat  info lengkap  cek  pede apa bisa    layanan customer sevice linkaja  live chat   ;1,58846E+18;https://pbs.twimg.com/media/Fnr40kBacAAYy6P.jpg;
42;42; alfamart  indomaret serta toserba  amp  supermarket yg masih membuka layanan di hari raya jg ;551984440;;Indonesia
43;43; bca    atm banyak di alfamart  indomaret  spbu    layanan transaksi teller tercepat di indonesia   kcp   banyak;126539216;;Antah Berantah
44;44; kecewa bgt sama layanan delivery alfa  dulu selalu on time skrg lambat bgt;155504501;;Bandung, Indonesia
45;45; bnr  ngebantu bgt bagi aku yg ga punya org yg bs ku mintai tolong  sedih bgt   utk aku yg lg sakit ampe mau bediri aja rasanya ga kuat  apalagi jalan ke  gitu ya  sedih  tp makasih byk alfagift utk layanan home delivery yg sgt membantu ini  feeong lg  frowning face  loudly crying face  red heart ;1,06568E+18;;ni akun dikelola oleh 10 admin
46;46; dulu saya lebih sering belanja di alfamart  sekarang lebih sreg ke indomaret  alasannya karena di alfamart rasanya lebih lama layanan di kasir sehingga tidak jarang ketemu antrian dibanding di indomaret  kedua  dia indomaret sering ada atm  sekalian jadinya ;3399887298;;INDONESIA
47;47;  coba hubungi kontak layanan customer alfamart cabang itu  aduin aja;1,57896E+18;;
48;48;  hai family midi  sudah tau belum  alfamidi udah menyediakan layanan antar loh  yuk download aplikasi midi kriing di hp mu atau bisa klik tautan  untuk download aplikasinya  terima kasih banyak   np;289267785;;Indonesia
49;49;rencananya  mesin atm qris ditempatkan di titik titik yang banyak membutuhkan layanan  seperti kantor pos  alfamart dan kantor pemerintah di kabupaten kota   tujuannya agar lebih tertib membayar pajak kendaraan bermotor   tandasnya  ;1,18219E+18;;KH. MANSYUR 234 SUMENEP
50;50;  semurah apapun belanja di tiptop  tetap memilih superindo  indomaret  alfamidi  alfamart  aneka buana dsb  kecepatan layanan dikasir nomor   buat saya  promo point sekian ;630259671;;
51;51;  fitur dari layanan simobiplus ialah  fitur lifestyle alfamart  yuk ikutan besti  banksinarmas berlahplussimobiplus;1,46065E+18;;
52;52; fitur dari layanan simobiplus ialah  fitur lifestyle alfamart  yuk ikutan besti  banksinarmas berlahplussimobiplus;1,46065E+18;;
53;53;  yuk ceritain keluhan kamu di layanan cs dana email  help dana id  kalo udah  mohon ditunggu ya kak  folded hands   thanks  yu ;9,65872E+17;;DKI Jakarta, Indonesia
54;54; saya sendiri udah jarang pakai layanan food delivery karena biayanya makin besar   grinning face with sweat   buat belanja groceries  sekarang lebih sering pakai alfagift karena cepet banget diantar dari alfamart terdekat  dan tidak ada minimum order  jadi tanpa promo pun ga masalah buat saya ;83074439;;di deket colokan
55;55; kl di gianyar bali  area rumah   sering belanja di clandys  ary s  indomart  alfamart  alasannya krn deket rumah  harga ok  atau ada layanan delivery   kl ke denpasar  br melipir ke grand lucky  papaya  pepito   ud ga pernah ke lotte mart  amp  transmart  barang ga lengkap  amp  jauh;32316500;;Indonesia
56;56;  layanan halo bca        untuk pengecekan lebih lanjut  karena membutuhkan proses verifikasi data melalui telepon  sebagai informasi  saat ini ada cara lain menghubungi halo bca menggunakan akses data internet tanpa pulsa yaitu menggunakan aplikasi halobca yang        giyo;620977821;;Jakarta - Indonesia
57;57;  hi leminz  selain melalui alfamart kamu bisa menggunakan layanan melalui le minerale delivery  langsung whatsapp ke                 ya  thankyou smiling face with smiling eyes ;3711634338;;
58;58;  akun resmi medsos bri sudah ter verified ya  untuk mendapatkan layanan yang lebih seru  silakan menghubungi contact bri sabrina whatsapp              tks oris    ;1398703135;;Jl Jend Sudirman 44-46 Jakarta
59;59;   toko retail yang telah bekerjasama  indomaret  alfamart  alfamidi  lawson  superindo  hypermart  circle k dan family mart     layanan e commerce   halte transjakarta   gerbang gerbang tol utama    cabang bank mandiri     ;589600174;;Jakarta
60;60; min  pernah kepikiran ga buat memikirkan fasilitas keamanan memanfaatkan layanan jasa satuan pengamanan di hrd nya ;69490387;;jakarta
61;61;  kami turut prihatin atas kendalanya  ibu  mengajukan refund ke layanan apa  tks  slightly smiling face   tian;620977821;;Jakarta - Indonesia
62;62; maksud dari virtual account itu  nomor virtual account dari masing masing layanan perbankan  kak  kamu juga bisa bayar pascabayr di gerai retail  alfamart  indomaret  pegadaian  pos   makasih     rasya;255409050;;Indonesia
63;63;  tidak dikenakan biaya  dan indomaret atau alfamart  dikenakan biaya rp      transaksi   bsi net banking atau melalui layanan kantor cabang bsi dengan membawa buku tabungan  kartu atm dan ktp asli   mohon tidak memberikan data pribadi yang bersifat rahasia  cont ;141500996;;Jakarta, Indonesia
64;64;  baik  apabila masih terkendala  kami sarankan melalui layanan dm ini untuk proses tindak lanjut ya  terima kasih   hamdan;949032626;;Jakarta, Indonesia
65;65;  atau melalui mitra kerjasama kami seperti indomaret  alfamart dan alfamidi   namun keluhan kakak akan menjadi perhatian dalam meningkatkan kualitas layanan bni kedepannya   waspada ya kak dengan info perubahan biaya transfer online antar bank dan info lainnya       ;3272444328;;Jakarta Capital Region
66;66;   toko retail yg telah bekerjasama  indomaret  alfamart  alfamidi  lawson  superindo  hypermart  circle k dan family mart    layanan e commerce   halte transjakarta   gerbang gerbang tol utama   kc bank mandiri     ;589600174;;Jakarta
67;67;  akun resmi media sosial bri sudah ter verified ya  untuk mendapatkan layanan yang lebih seru  silakan menghubungi contact bri sabrina whatsapp              tks sora    ;1355939492;;Jl Jend Sudirman 44-46 Jakarta
68;68; waduh  kak ale  jika masih terkendala melakukan pembayaran  bisa melalui atm  m banking  link aja  tokopedia  plasa telkom  indomaret  kantor pos  alfamidi  alfamart  pembayaran menggunakan nomer layanan internet yang terdiri dari    digit angka dan diawali angka     him;7,65035E+17;;Indonesia
69;69; waduh  sobat  jika masih terkendala melakukan pembayaran  bisa melalui atm  m banking  link aja  tokopedia  plasa telkom  indomaret  kantor pos  alfamidi  alfamart  pembayaran menggunakan nomer layanan internet yang terdiri dari    digit angka dan diawali angka     him;7,65035E+17;;Indonesia
70;70;  hi kak  biar keluhan cepet ditangani  yuk hubungi layanan live chat kami  caranya gampang     buka aplikasi dana    pilih menu me  saya     klik resolution center  pusat resolusi     klik menu chat obrolan  pada pojok kanan bawah    pilih kendala yang sesuai tks nd  ;9,65872E+17;;DKI Jakarta, Indonesia
71;71;halo min  apakah layanan dana sedang bermasalah soal nya saya mengisi dana di alfamart    k yang nyampe   k itu gimana yah min ;1,63425E+18;;
72;72; pengalaman  perbedaan layanan berisiko error dana ngga masuk  dulu pernah kejadian di alfamart dana udah kepotong tapi ga masuk di sisi mereka;489137471;;
73;73; assalamualaikum kak  terima kasih telah menghubungi layanan kami  dapat kami informasikan untuk transaksi tarik tunai tanpa kartu debit  cardless  dapat dilakukan melalui mesin atm bsi  indomaret dan alfamart ya kak  untuk transaksi cardless melalui  cont ;141500996;;Jakarta, Indonesia
74;74;langsung buruan di cek yuk katalog promo jsm alfamauntuk besok  berlaku mulai tanggal       desember      yuk  buruan ke alfamart terdekat hari ini atau bisa lewat aplikasi alfagift biar belanja jadimakin mudah  cepat dan hemat dengan layanan siap antar   gratis ongkir  ;104065886;https://pbs.twimg.com/media/GAVO_csacAAzcRf.jpg;keliling mall nyari diskonan
75;75;  sama aja bro di offline juga kena parkir malah kalau di kali satu bulan lebih mahal lagj victory hand  asal layanan sebanding ok aja lah kl saya anggep aja tukang parkir online grinning face with smiling eyes ;168341594;;Kota Semarang, Jawa Tengah
76;76; pesanan baru saya terima  terima kasih   cukup sekali ini saja menggunakan layanan delivery   dari whatsapp alfacare sampe medsos pun gak ada gercepnya sama sekali  gak ada respon  pantesan kalah sama  yang delivery nya memuaskan  sesuai estimasi  hehehe ;184313539;;Indonesia
77;77; hai kak  maaf dah bikin kamu nggak tenang  apabila kakak menalami kendala top up pada alfamart  kakak dapat melakukan top up melalui metode lainnya  jika masih terkendala silakan hubungi layanan asisten digital diana  kalo udh  yuk dm kami no laporannya  makasi  mc ;9,65872E+17;;DKI Jakarta, Indonesia
78;78;lokasi layanan sim keliling sukabumi pada hari ini rabu     juni      berlokasi di alfamart cikawung nyalindung mulai pukul       s   d       wib   ;1,30933E+18;;
79;79;lokasi layanan sim keliling bogor pada hari ini rabu     mei      berlokasi di alfamart spbu cinangneng  waktu pendaftaran mulai pukul       s   d       wib   ;1,30933E+18;;
80;80;lokasi layanan sim keliling sukabumi pada hari ini rabu     mei      berlokasi di alfamart cikawung nyalindung mulai pukul       s   d       wib   ;1,30933E+18;;
81;81;  kalo udah gini harusnya sih nanya ke gojek  bukan ke driver  apalagi status driver cuma mitra kerja  dan biaya layanan termasuk parkir ini ga di semua resto  bisa jg casenya resto gratis parkir tp ternyata ada tukang parkir  mirip  di indo alfamart gitu  ;1,10512E+18;;
82;82; nio sarankan kakak mencoba menggunakan metode pembayaran lainnya seperti m banking  ovo  shopee  atm  lazada  alfamart  atau indomaret  mohon menginformasikan data berikut via dm agar dapat dibantu lakukan pengecekan  no  layanan  nama pelanggan   alamat instalasi        nio;7,65035E+17;;Indonesia
83;83; setau sy alfamart selalu ada sedia wc untuk pelanggannya  tapi yg satu ini belum ada  gimana layanan ya ;132858139;https://pbs.twimg.com/media/Fl6yS2zacAAUy59.jpg;
84;84;  slm  silakan dapat pengisian formulir layanan pandawa saat peralihan pbpu  mandiri  pembayaran pertama bisa melalui atm bank  kantor pos  alfamart  indomaret  loket loket ppob  lalu  pembayaran bulan berikutnya akan secara autodebit sesuai rekening yang didaftarkan  tks      mita;1522337929;;Indonesia
85;85;beli kebutuhan makin praktis di indomaret  alfamart  alfamidi atau circle k dan bayar dengan linkaja   info lengkap  cek tautan berikut   pede apa bisa  layanan customer service linkaja   live chat   ;3195998996;https://pbs.twimg.com/media/FmLG0foacAMofNt.jpg;
86;86;  mjb  pertama kali aku naik mpake flazz terus kartunya hilang dan pake brizzi dari alfamart  dan ini ada app jg cuma aku belum pernah unduh aplikasi dan pake layanan beli tiket di sini ;7,49514E+17;https://pbs.twimg.com/media/FzMaoMoacAAOn0u.jpg;DKI Jakarta, Indonesia
87;87; salam  no va diberikan saat sahabat berhasil melakukan pendaftaran peralihan segmen melalui layanan pandawa  silakan dapat  melakukan pengecekan file pdf dari pandawa  pembayaran pertama kali selain melalui alfamart  juga dapat melalui m banking  atm  e commerce  tks      prili;1522337929;;Indonesia
88;88;infotransjakarta   layanan mikrotrans jak     rawa buaya   rawa kompeni mengalami pengalihan rute dikarenakan terkait adanya truk kontainer mogok di sekitar jl  kamal raya  sementara tidak melayani bus stop pasar kamal  s d alfamart kp  belakang untuk kedua arah jaki perlutahu;104556071;;Jakarta
89;89; tambah min alfamart itu layanan pesan antarnya gratis tanpa minimum belanja indomaret masih ada minimumnya;7,88401E+17;;
90;90; perbaikin layanan cs  minta di dm malah responnya pakai bot  adminnya tolong belajar baca ya ;191347030;;62
91;91; min  tolong sampaikan ke divisi cs  perbaikin layanan alafagiftnya tolong  csat tuh penting  hehe;191347030;;62
92;92; aku termasuk yg terbantu bgt sama layanan alfagift dari alfamart  pesen barang  ga sampe   jam langsung dikirim dan free ongkir  terus kalo mau tarik tunai bca juga ga ada min pembelian  sedangkan di indoapril min belanja   k br bisa tarik tunai  hundred points  hundred points  hundred points ;394516140;;Kota Semarang, Jawa Tengah
