;full_text;user_id_str;image_url;location
26;Dapatkan bonus extra 1.000 A-Poin di Alfamart! Setiap melakukan pembayaran layanan Telkom Group  Sahabat bisa mendapatkan bonus A-Poinnya loo! Yuk buruan nikmati extra A-Poinnya di #Alfamart terdekat!😍  Periode 18 - 20 Desember 2023 S&amp;;;
27;@BPJSKesehatanRI Sejak Bulan Januari  Premi BPJS Kesehatan tidak bisa dibayarkan. Mulai dari layanan Mobile Banking  E-Commers  Alfamart &amp;;;
28;SISA 2 HARI LAGI NIH SAHABAT!😱  Dengan pembayaran BPJS Ketenagakerjaan  CAR life insurance  atau layanan televisi di Alfamart  Sahabat bisa mendapatkan Chocopie secara GRATIS!!  Yuk buruan lakukan pembayarannya di #Alfamart terdekat!  Periode s/d 15 Des 2023 S&amp;;;
29;@alfamart kalian tu gak punya CS tapi buka layanan CS ya? Ini chat dr bulan apa gak pernah solved. Di aplikasi diarahkan ke email juga gak ada respon. Aku mau komplain! https://t.co/B04CblQmFJ;103802792;https://pbs.twimg.com/media/F96qP-1bwAAdr0p.jpg;Yogyakarta, Indonesia
30;PATROLI KEWILAYAHAN  Personil Polsek Cikarang Selatan Aipda Jon Henry dan Bripka Acep  melaksanakan sosialisasi layanan Polri 110 di Alfamart Desa Sukaresmi untuk menyampaikan himbauan kamtibmas  @kapolres_bekasikabupaten @humaspolresmetrobekasi https://t.co/gH0Z4f0Ulf;9,69218E+17;https://pbs.twimg.com/media/GA-N-2MaAAAKpyM.jpg;cikarang selatan
31;@callmechiaaja @alfamart parkir alfamart gratis. itu layanan buat konsumen  dan pihak pt udah bayar retribusi juga ke pemda jadi itu kalo ada parkir di alfa / indo masuknya pungli si;1,48339E+18;;
32;@alfamart layanan alfagift mu sangat berarti  tapi ya jangan sampe nunggu sejam baru dateng...;1,17031E+18;;
33;@worksfess min  mohon info cara kl mau bikin pengaduan layanan konsumen dong @alfamart;1,12208E+18;;
34;@alfamart cek dm min komplain soal layanan pembayaran;155657333;;
35;@alfamart Disemua alfamart lah min..  Kalau ada gangguan layanan pembayaran  misal Qris  atau PPOB  mending ditulis di depan pintu  atau di depan kasir...biar org ga ikut antri cmn buat dibilang gangguan...;73090798;;
36;"@sipidermenn kalo kontrakanmu deket alfamart yg ada layanan pesan antar  download aja apk alfagift  nanti kamu bisa pesen jajan dan barang lain yang ada di alfamart dari rumah  gratis ongkir kok  kalo pembayarannya lewat e wallet atau m banking gada min ordernya  kalo mau cod min order 50k.""";1,451E+18;;
37;@sucreroses_ @evildance_ Lebih praktis kalau begitu. Mungkin Indomaret dan Alfamart bisa tawarkan layanan titip alamat semacam ini.  Kalau di Indonesia saat ini  bisa dikirim ke alamat agen kurir di kota yg kita inginkan  asal pakai kurir yang sama.;108557222;;
38;Layanan Kurban: https://t.co/RfoywNdNdN Email: layananmuzaki@baznas.go.id  #BAZNAS #Kurban #KurbanBerkahBAZNAS #alfamart;293290619;;Jakarta Capital Region
39;Update: Siwon ♡ @argielova   Oh iya  info layanan masyarakat elf: kalau masih ada yg nyari tapcash siwon  tadi di alfamart daerah joglo (depan mcd kl ga salah) masih ada beberapa;1,65988E+18;;
40;Guys  ada platform investasi bisnis bagus!  Kita bisa punya bisnis Alfamart hingga Sour Sally  mulai dari Rp 1 juta. Pakai kode MDLT64F9 dan dapatkan 50% cashback biaya layanan untuk investasi perdanamu.  Yuk  Daftar sekarang juga di https://t.co/USb45ciwSy  Kuota Terbatas!;65303894;;Indonesia
41;LinkAja Indonesia  8 menit  ·  Saldomu habis waktu kritis? Tenang  isi langsung di Alfamart dan Alfamidi terdekat! Info lengkap  cek https://t.co/CMdpr7Jw46... Pede #Apa2Bisa _________________ Layanan Customer Sevice LinkAja: Live Chat: https://t.co/opjgPjLJwg https://t.co/YWjLP9WFhw;1,58846E+18;https://pbs.twimg.com/media/Fnr40kBacAAYy6P.jpg;
42;@FahmiAgustian Alfamart  Indomaret serta toserba &amp;;;
43;@tanyakanrl BCA  * ATM banyak di Alfamart  Indomaret  SPBU  * layanan transaksi teller tercepat di Indonesia  *KCP .. banyak;126539216;;Antah Berantah
44;@alfamart kecewa bgt sama layanan delivery alfa.. dulu selalu on time skrg lambat bgt;155504501;;Bandung, Indonesia
45;@alfagift_idn bnr2 ngebantu bgt bagi aku yg ga punya org yg bs ku mintai tolong (sedih bgt)  utk aku yg lg sakit ampe mau bediri aja rasanya ga kuat  apalagi jalan ke @alfamart gitu ya. Sedih  tp makasih byk alfagift utk layanan home delivery yg sgt membantu ini  feeong lg ☹️😭❤️;1,06568E+18;;ni akun dikelola oleh 10 admin
46;@belajarlagiHQ Dulu saya lebih sering belanja di Alfamart. Sekarang lebih sreg ke Indomaret. Alasannya karena di Alfamart rasanya lebih lama layanan di kasir sehingga tidak jarang ketemu antrian dibanding di Indomaret. Kedua  dia Indomaret sering ada ATM  sekalian jadinya.;3399887298;;INDONESIA
47;@narniaa03 @undipmenfess Coba hubungi kontak layanan customer alfamart cabang itu  aduin aja;1,57896E+18;;
48;@dimaspantjur @riswansiboroo @Indomaret @alfamart Hai Family Midi! Sudah tau belum? Alfamidi udah menyediakan layanan antar loh. Yuk download aplikasi Midi Kriing di HP mu atau bisa klik tautan https://t.co/hJWGkkxLt8 untuk download aplikasinya. Terima kasih banyak. ^np;289267785;;Indonesia
49;"Rencananya  mesin ATM QRIS ditempatkan di titik-titik yang banyak membutuhkan layanan  seperti kantor pos  Alfamart dan kantor pemerintah di Kabupaten Kota.  Tujuannya agar lebih tertib membayar pajak kendaraan bermotor "" tandasnya.""";1,18219E+18;;KH. MANSYUR 234 SUMENEP
50;@Widino @convomfs Semurah apapun belanja di tiptop  tetap memilih Superindo  indomaret  Alfamidi  Alfamart  Aneka buana dsb. Kecepatan layanan dikasir nomor 1 buat saya. Promo point sekian.;630259671;;
51;@BankSinarmas @hollathemoon @arsyia_ @mysyofia Fitur dari layanan simobiplus ialah  Fitur Lifestyle Alfamart  @BankSinarmas   Yuk ikutan besti @hollathemoon @arsyia_ @mysyofia #BankSinarmas #BerlahPlusSimobiPlus;1,46065E+18;;
52;@BankSinarmas Fitur dari layanan simobiplus ialah  Fitur Lifestyle Alfamart @BankSinarmas   Yuk ikutan besti @hollathemoon @arsyia_ @mysyofia #BankSinarmas #BerlahPlusSimobiPlus;1,46065E+18;;
53;@Crazytogel @sungganteng @bp2mi_ri @KemenkeuRI @DitjenPajakRI @Twitter @bantuan_bankbri @BankBCA @Mitsubishi_ID @ShopeeID @LazadaPH @ovo_id @gopayindonesia @alfamart @Indomaret @WhatsApp @tokopedia @gojekindonesia @JNE_ID Yuk ceritain keluhan kamu di layanan CS DANA email: help@dana.id  kalo udah  mohon ditunggu ya Kak 🙏. Thanks -YU-;9,65872E+17;;DKI Jakarta, Indonesia
54;@Puthutea Saya sendiri udah jarang pakai layanan food delivery karena biayanya makin besar. 😅  Buat belanja groceries  sekarang lebih sering pakai Alfagift karena cepet banget diantar dari Alfamart terdekat  dan tidak ada minimum order. Jadi tanpa promo pun ga masalah buat saya.;83074439;;di deket colokan
55;@Strategi_Bisnis kl di gianyar-bali (area rumah): sering belanja di clandys  ary’s  indomart  alfamart. alasannya krn deket rumah  harga ok  atau ada layanan delivery.  kl ke denpasar: br melipir ke grand lucky  papaya  pepito.  ud ga pernah ke lotte mart &amp;;;
56;@rudeliciouzrudy @alfamart @Indomaret layanan Halo BCA 1500888 untuk pengecekan lebih lanjut  karena membutuhkan proses verifikasi data melalui telepon. Sebagai informasi  saat ini ada cara lain menghubungi Halo BCA menggunakan akses data internet tanpa pulsa yaitu menggunakan aplikasi haloBCA yang (2/5) ^Giyo;620977821;;Jakarta - Indonesia
57;@aiscoclat @alfagift_idn @alfamart Hi Leminz! Selain melalui alfamart kamu bisa menggunakan layanan melalui Le Minerale Delivery  langsung whatsapp ke 0812-89-900-900 ya. Thankyou😊;3711634338;;
58;@HumanInPrivate @Indomaret @alfamart Akun resmi medsos BRI sudah ter-Verified ya. Untuk mendapatkan layanan yang lebih seru  silakan menghubungi Contact BRI Sabrina WhatsApp 08121214017. Tks~Oris (3);1398703135;;Jl Jend Sudirman 44-46 Jakarta
59;@stunningtofu - Toko retail yang telah bekerjasama (Indomaret  Alfamart  Alfamidi  Lawson  Superindo  Hypermart  Circle-K dan Family mart). - layanan e-commerce - Halte Transjakarta - Gerbang-gerbang tol utama. - Cabang Bank Mandiri. (2);589600174;;Jakarta
60;@alfamart Min  pernah kepikiran ga buat memikirkan fasilitas keamanan memanfaatkan layanan jasa satuan pengamanan di HRD nya?;69490387;;jakarta
61;@aiisaaaah @alfamart Kami turut prihatin atas kendalanya. Ibu @aiisaaaah mengajukan refund ke layanan apa? Tks 🙂 ^Tian;620977821;;Jakarta - Indonesia
62;@monicasei Maksud dari Virtual Account itu  nomor Virtual Account dari masing-masing layanan perbankan  Kak. Kamu juga bisa bayar PascaBayr di Gerai Retail (Alfamart  Indomaret  Pegadaian  POS). Makasih :) -Rasya;255409050;;Indonesia
63;@Winur_a (tidak dikenakan biaya) dan Indomaret atau Alfamart (dikenakan biaya Rp.5.000/transaksi)  BSI Net Banking atau melalui layanan kantor cabang BSI dengan membawa buku tabungan  kartu ATM dan KTP asli.  Mohon tidak memberikan data pribadi yang bersifat rahasia (cont);141500996;;Jakarta, Indonesia
64;@tatorang @alfamart @alfamidi_ku Baik  apabila masih terkendala  kami sarankan melalui layanan DM ini untuk proses tindak lanjut ya. Terima kasih - Hamdan;949032626;;Jakarta, Indonesia
65;@DDennotz @BNI @DDennotz atau melalui mitra kerjasama kami seperti Indomaret  Alfamart dan Alfamidi.  Namun keluhan Kakak akan menjadi perhatian dalam meningkatkan kualitas layanan BNI kedepannya.   Waspada ya Kak dengan info perubahan biaya transfer online antar bank dan info lainnya  (2/4);3272444328;;Jakarta Capital Region
66;@whatsappoffice1 - Toko retail yg telah bekerjasama (Indomaret  Alfamart  Alfamidi  Lawson  Superindo  Hypermart  Circle-K dan Family mart) - Layanan e-commerce - Halte Transjakarta - Gerbang-gerbang Tol utama - KC Bank Mandiri. (2);589600174;;Jakarta
67;@echapilicha @alfamart Akun resmi media sosial BRI sudah ter-Verified ya. Untuk mendapatkan layanan yang lebih seru  silakan menghubungi Contact BRI Sabrina WhatsApp 08121214017. Tks~Sora (2);1355939492;;Jl Jend Sudirman 44-46 Jakarta
68;@ashastast Waduh  Kak Ale. Jika masih terkendala melakukan pembayaran  bisa melalui ATM  M-Banking  Link-Aja  Tokopedia  Plasa Telkom  Indomaret  Kantor Pos  Alfamidi  Alfamart. Pembayaran menggunakan nomer layanan internet yang terdiri dari 12 digit angka dan diawali angka 1. -Him;7,65035E+17;;Indonesia
69;@bikinkesell Waduh  Sobat. Jika masih terkendala melakukan pembayaran  bisa melalui ATM  M-Banking  Link-Aja  Tokopedia  Plasa Telkom  Indomaret  Kantor Pos  Alfamidi  Alfamart. Pembayaran menggunakan nomer layanan internet yang terdiri dari 12 digit angka dan diawali angka 1. -Him;7,65035E+17;;Indonesia
70;"@Yoshiaree27 @alfamart Hi Kak  biar keluhan cepet ditangani. Yuk hubungi layanan Live Chat kami  caranya gampang: 1. Buka aplikasi DANA 2. Pilih menu Me (saya) 3. Klik Resolution Center (Pusat Resolusi) 4. Klik menu Chat/Obrolan"" pada pojok kanan bawah 5. Pilih kendala yang sesuai Tks-ND-""";9,65872E+17;;DKI Jakarta, Indonesia
71;Halo min  apakah layanan dana sedang bermasalah soal nya saya mengisi dana di alfamart 100k yang nyampe 50k itu gimana yah min @danawallet;1,63425E+18;;
72;@txtfrombrand pengalaman  perbedaan layanan berisiko error dana ngga masuk  dulu pernah kejadian di alfamart dana udah kepotong tapi ga masuk di sisi mereka;489137471;;
73;@vivitamin__ Assalamualaikum Kak. Terima kasih telah menghubungi layanan kami. Dapat kami informasikan untuk transaksi tarik tunai tanpa kartu debit (Cardless) dapat dilakukan melalui mesin ATM BSI  Indomaret dan Alfamart ya Kak. Untuk transaksi Cardless melalui (cont);141500996;;Jakarta, Indonesia
74;LANGSUNG BURUAN DI CEK YUK KATALOG PROMO JSM ALFAMART UNTUK BESOK  berlaku mulai tanggal 01-03 DESEMBER 2023 Yuk  buruan ke #Alfamart terdekat hari ini atau bisa lewat aplikasi #Alfagift biar belanja jadimakin mudah  cepat dan hemat dengan layanan siap antar + GRATIS ONGKIR… https://t.co/hZ0CGBNfkA;104065886;https://pbs.twimg.com/media/GAVO_csacAAzcRf.jpg;keliling mall nyari diskonan
75;@rsafari77 @tokopedia @alfamart @Indomaret Sama aja bro di offline juga kena parkir malah kalau di kali satu bulan lebih mahal lagj✌️.asal layanan sebanding OK aja lah kl saya.anggep aja tukang parkir online😄;168341594;;Kota Semarang, Jawa Tengah
76;@alfamart Pesanan baru saya terima. Terima kasih.  Cukup sekali ini saja menggunakan layanan delivery @alfagift_idn. Dari whatsapp alfacare sampe medsos pun gak ada gercepnya sama sekali  gak ada respon. Pantesan kalah sama @Indomaret yang delivery-nya memuaskan  sesuai estimasi. Hehehe...;184313539;;Indonesia
77;@Harrymoon22 Hai Kak  maaf dah bikin kamu nggak tenang. Apabila Kakak menalami kendala Top Up pada Alfamart  Kakak dapat melakukan Top Up melalui metode lainnya. Jika masih terkendala silakan hubungi layanan asisten digital DIANA. Kalo udh  yuk DM kami no laporannya. Makasi -MC-;9,65872E+17;;DKI Jakarta, Indonesia
78;Lokasi Layanan SIM Keliling Sukabumi pada hari ini Rabu  28 Juni 2023 berlokasi di Alfamart Cikawung Nyalindung mulai pukul 08.00 s / d 13.00 WIB.  https://t.co/xYtrDKO1b7;1,30933E+18;;
79;Lokasi Layanan SIM Keliling Bogor pada hari ini Rabu  31 Mei 2023 berlokasi di Alfamart SPBU Cinangneng  waktu pendaftaran mulai pukul 08.00 s / d 09.00 WIB.  https://t.co/895qNq6gJN;1,30933E+18;;
80;Lokasi Layanan SIM Keliling Sukabumi pada hari ini Rabu  31 Mei 2023 berlokasi di Alfamart Cikawung Nyalindung mulai pukul 08.00 s / d 13.00 WIB.  https://t.co/xrjI6A79fA;1,30933E+18;;
81;@tojislove @tanyakanrl kalo udah gini harusnya sih nanya ke gojek  bukan ke driver. apalagi status driver cuma mitra kerja. dan biaya layanan termasuk parkir ini ga di semua resto. bisa jg casenya resto gratis parkir tp ternyata ada tukang parkir  mirip2 di indo/alfamart gitu2.;1,10512E+18;;
82;@yovrstrvlly Nio sarankan Kakak mencoba menggunakan metode pembayaran lainnya seperti M-Banking  OVO  Shopee  ATM  Lazada  Alfamart  atau Indomaret. Mohon menginformasikan data berikut via DM agar dapat dibantu lakukan pengecekan -No. layanan -Nama Pelanggan  -Alamat instalasi (2/2) -Nio;7,65035E+17;;Indonesia
83;@alfamart setau sy Alfamart selalu ada sedia wc untuk pelanggannya   tapi yg satu ini belum ada. Gimana layanan ya https://t.co/nF8kRG0K7E;132858139;https://pbs.twimg.com/media/Fl6yS2zacAAUy59.jpg;
84;@nyatuweh1 @nd176NumeroUno Slm. Silakan dapat pengisian formulir Layanan Pandawa saat peralihan PBPU/ Mandiri. Pembayaran pertama bisa melalui ATM Bank  Kantor POS  Alfamart  Indomaret  loket-loket PPOB. Lalu  pembayaran bulan berikutnya akan secara autodebit sesuai rekening yang didaftarkan. Tks. :) -mita;1522337929;;Indonesia
85;Beli kebutuhan makin praktis di Indomaret  Alfamart  Alfamidi atau Circle K dan bayar dengan LinkAja.  Info lengkap  cek tautan berikut. https://t.co/UxP5cNfGv1  Pede #Apa2Bisa  Layanan Customer Service LinkAja:  Live Chat: https://t.co/ujn1NCgcxn https://t.co/RXhBQEpqud;3195998996;https://pbs.twimg.com/media/FmLG0foacAMofNt.jpg;
86;@puippies @atespaga @berburusales Mjb  pertama kali aku naik MRT pake Flazz terus kartunya hilang dan pake Brizzi dari Alfamart. Dan ini ada app jg cuma aku belum pernah unduh aplikasi dan pake layanan beli tiket di sini https://t.co/L5nCp11aGK;7,49514E+17;https://pbs.twimg.com/media/FzMaoMoacAAOn0u.jpg;DKI Jakarta, Indonesia
87;@wife_taekook Salam. No VA diberikan saat Sahabat berhasil melakukan pendaftaran/peralihan segmen melalui layanan Pandawa. Silakan dapat  melakukan pengecekan file pdf dari Pandawa. Pembayaran pertama kali selain melalui alfamart  juga dapat melalui m-banking  ATM  E-commerce. Tks. :) -prili;1522337929;;Indonesia
88;#INFOTRANSJAKARTA | Layanan Mikrotrans JAK 80: Rawa Buaya - Rawa Kompeni mengalami pengalihan rute dikarenakan terkait adanya Truk kontainer mogok di sekitar Jl. Kamal Raya  Sementara tidak melayani bus stop Pasar Kamal  s/d Alfamart Kp. Belakang untuk kedua arah.#JAKI #PerluTahu;104556071;;Jakarta
89;@txtfromkeuangan Tambah min alfamart itu layanan pesan antarnya GRATIS tanpa minimum belanja indomaret masih ada minimumnya;7,88401E+17;;
90;@alfamart Perbaikin layanan cs! Minta di dm malah responnya pakai bot. Adminnya tolong belajar baca ya.;191347030;;62
91;@alfamart Min  tolong sampaikan ke divisi CS  perbaikin layanan alafagiftnya tolong. CSAT tuh penting. Hehe;191347030;;62
92;@txtfromkeuangan aku termasuk yg terbantu bgt sama layanan alfagift dari alfamart. pesen barang  ga sampe 1 jam langsung dikirim dan free ongkir. terus kalo mau tarik tunai bca juga ga ada min pembelian  sedangkan di indoapril min belanja 10k br bisa tarik tunai 💯💯💯;394516140;;Kota Semarang, Jawa Tengah
